name,nationality,nationality2,position,played_in_khl,played_in_nhl,teams,gagarin_cup,stanley_cup,olympic_gold,world_gold,link
Игорь Скороходов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,HK Belgorod / HK Lipetsk / Izhstal Izhevsk / Lada Togliatti / Metallurg Novokuznetsk / Salavat Yulaev Ufa / Severstal Cherepovets / Severstal Cherepovets-2 / Toros Neftekamsk / Traktor Chelyabinsk / Traktor Chelyabinsk-2 / Vityaz Chekhov / Vityaz Chekhov-2 / Yugra Khanty-Mansiysk,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/20550/igor-skorokhodov
Йозеф Страка,Чехия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Ak Bars Kazan / Avtomobilist Yekaterinburg / Black Wings Linz / Blue Devils Weiden / Чехия (all) / Чехия U18 / Чехия U20 / EHC Waldkraiburg / ERV Schweinfurt / Gherdëina / HC Chemopetrol / HC Chemopetrol U20 / HC Litvinov U16 / HC Litvinov U18 / HC Litvinov U20 / HC Litvínov / HC Litvínov U20 / HC Mladá Boleslav / HC Motor České Budějovice / HC Plzeň / HC Sparta Praha / HC Znojemští Orli / KHL Meteor Třemošná / Lukko / Piráti Chomutov / SCL Tigers / Severstal Cherepovets",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/7970/josef-straka
Игорь Макаров,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,Avangard Omsk / CSKA Moskva / Dynamo Moskva / Krylia Sovetov Moskva / Krylia Sovetov Moskva-2 / Neftekhimik Nizhnekamsk / Rockford IceHogs / Россия (all) / Россия U17 / Россия U18 / Россия U20 / SKA St. Petersburg / SKA St. Petersburg-2 / Salavat Yulaev Ufa / Sibir Novosibirsk,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9591/igor-makarov
Петр Коукал,Чехия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Avtomobilist Yekaterinburg / Чехия / Чехия (all) / HC Hradec Králové / HC Pardubice / HC Pardubice U20 / HC Plzeň / HC Šumperští Draci / HC Žďár nad Sázavou U20 / Jokerit / Mountfield HK / Neftekhimik Nizhnekamsk / SC Kolin / SC Kolín / SKLH Žďár nad Sázavou",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/22763/petr-koukal
Александр Гуськов,Россия,N/A,Защитник,ИСТИНА,ЛОЖЬ,N/A,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/21043/alexander-guskov
Стив Мозес,США,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / BK Mladá Boleslav / Boston Jr. Bruins / Connecticut Whale / HC Ambrì-Piotta / HC Kometa Brno / HPK / Jokerit / Milwaukee Admirals / Rochester Americans / SC Rapperswil-Jona Lakers / SKA St. Petersburg / США / Univ. of New Hampshire",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/38086/steve-moses
Яромир Ягр,Чехия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Avangard Omsk / Boston Bruins / Calgary Flames / Чехия / Чехия (all) / CzechoСловакия / CzechoСловакия (all) / CzechoСловакия U18 / CzechoСловакия U20 / Dallas Stars / Florida Panthers / HC Bolzano / HC Kladno / New Jersey Devils / New York Rangers / Philadelphia Flyers / Pittsburgh Penguins / Rytiri Kladno U18 / Rytiri Kladno U20 / Rytíři Kladno / Schalker Haie 87 / TJ Kladno / Washington Capitals",ЛОЖЬ,ИСТИНА,ИСТИНА,ИСТИНА,https://www.eliteprospects.com/player/8627/jaromir-jagr
Евгений Грачёв,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Admiral Vladivostok / Amur Khabarovsk / Avangard Omsk / Avtomobilist Yekaterinburg / Brampton Battalion / Connecticut Whale / Dinamo Riga / Hartford Wolf Pack / Lokomotiv Yaroslavl / Lokomotiv Yaroslavl-2 / New York Rangers / Peoria Rivermen / Россия U16 (all) / Россия U18 / Россия U20 / St. Louis Blues / Torpedo Nizhny Novgorod",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/16752/yevgeni-grachyov
Роман Савченко,Казахстан,N/A,Защитник,ИСТИНА,ЛОЖЬ,Barys Astana / Barys Astana-2 / Barys Nur-Sultan / Казахстан / Казахстан (all) / Казахстан U18 / Казахстан U20 / Kazzinc-Torpedo / Lokomotiv Yaroslavl / Nomad Astana / SC Csíkszereda / Sibir Novosibirsk / Torpedo Ust-Kamenogorsk-2,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/15289/roman-savchenko
Игорь Магогин,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""C"" / Avtomobilist Yekaterinburg / Dynamo-Energiya Yekaterinburg-2 / Gazovik Tyumen / Gazovik Univer / HC Detva / Lada Togliatti / Rubin Tyumen / Rubin Tyumen-2 / Severstal Cherepovets / Sputnik Nizhny Tagil / Yugra Khanty-Mansiysk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/42137/igor-magogin
