name,nationality,nationality2,position,played_in_khl,played_in_nhl,teams,gagarin_cup,stanley_cup,olympic_gold,world_gold,link
Йонас Холёс,Норвегия,N/A,Защитник,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Colorado Avalanche / Färjestad BK / HC Fribourg-Gottéron / Kölner Haie / Lake Erie Monsters / Linköping HC / Lokomotiv Yaroslavl / Норвегия / Норвегия (all) / Норвегия U18 / Норвегия U18 (all) / Норвегия U20 / Sparta Sarpsborg / Sparta Sarpsborg 2 / Sparta Sarpsborg U19 / Växjö Lakers HC",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/15713/jonas-holos
Аарон Палушай,США,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Avtomobilist Yekaterinburg / Brynäs IF / Carolina Hurricanes / Charlotte Checkers / Cleveland Monsters / Colorado Avalanche / Des Moines Buccaneers / Dinamo Minsk / HC Davos / Hamilton Bulldogs / Honeybaked 14U AAA / Honeybaked 16U AAA / Lehigh Valley Phantoms / Medvescak Zagreb / Montréal Canadiens / Peoria Rivermen / США / США U20 / Univ. of Michigan / Örebro HK",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/12513/aaron-palushaj
Туомас Киискинен,Финляндия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Donbass Donetsk / Финляндия / Финляндия (all) / Финляндия U16 (all) / KalPa / KalPa U16 / KalPa U18 / KalPa U20 / SaiPa / Skellefteå AIK / Suomi U20 / Växjö Lakers HC",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/7505/tuomas-kiiskinen
Андрей Зюзин,Россия,N/A,Защитник,ИСТИНА,ИСТИНА,"""A"" / Albany River Rats / Atlant Mytishchi / Bilyy Bars Bila Tserkva / Calgary Flames / Chicago Blackhawks / Detroit Vipers / EC-KAC / EHC Biel-Bienne / HK VMF St. Petersburg / HK Vitebsk / Kentucky Thoroughblades / Minnesota Wild / New Jersey Devils / Novoil Ufa / Rubin Tyumen / Россия (all) / Россия U18 / Россия U20 / SKA St. Petersburg / Salavat Yulaev Ufa / San Jose Sharks / Severstal Cherepovets / Tampa Bay Lightning",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/8608/andrei-zyuzin
Виктор Калачик,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Avtomobilist Yekaterinburg / HK MVD / HK MVD Balashikha-2 / HK Serov / Lokomotiv Serov / Mechel Chelyabinsk / Mechel Chelyabinsk-2 / Metallurg Serov / Metallurg Serov-2 / Molot-Prikamie Perm / Neftekhimik Nizhnekamsk / Neftekhimik Nizhnekamsk-2 / Progress Solikamsk / Rubin Tyumen-2 / Sputnik Nizhny Tagil / Zvezda Chebarkul",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/21173/viktor-kalachik
Йере Каралахти,Финляндия,N/A,Защитник,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Blues / Dynamo Minsk / Финляндия / Финляндия (all) / Финляндия II (all) / Финляндия U18 / Финляндия U18 (all) / Финляндия U19 (all) / Финляндия U20 / Финляндия U20 (all) / HIFK / HIFK U18 / HIFK U20 / HV71 / Hamburg Freezers / Jokerit / Kärpät / Long Beach Ice Dogs / Los Angeles Kings / Nashville Predators",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/3317/jere-karalahti
Евгений Хвостов,Россия,N/A,Защитник,ИСТИНА,ЛОЖЬ,"""A"" / Avangard Omsk-2 / Avtomobilist Yekaterinburg / Avtomobilist Yekaterinburg-2 / Dynamo-Energiya Yekaterinburg / Dynamo-Energiya Yekaterinburg-2 / Rubin Tyumen / Rubin Tyumen-2 / Sputnik Nizhny Tagil / Yugra Khanty-Mansiysk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/84329/yevgeni-khvostov
Данила Квартальнов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / CSKA Moskva / Dynamo St. Petersburg / HK Ryazan / HK Sochi / Khimik Voskresensk / Krasnaya Armiya Moskva / Metallurg Magnitogorsk / Россия U17 / Россия U18 / Россия U18 (all) / Россия U20 / SKA St. Petersburg / SKA-1946 St. Petersburg / SKA-Neva St. Petersburg / Sibirskie Snaipery Novosibirsk / Spartak Moskva / Vityaz Podolsk / Yunison-Moskva / Zvezda Chekhov",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/265483/danila-kvartalnov
Томаш Клоучек,Чехия,N/A,Защитник,ИСТИНА,ИСТИНА,Atlanta Thrashers / Barys Astana / Bílí Tygři Liberec / Cape Breton Screaming Eagles / Chicago Wolves / Чехия U17 / Epinal / HC Kosice / HC Oceláři Třinec / HC Slavia Praha / HC Slavia Praha U20 / HC Zlín / Hartford Wolf Pack / Lev Poprad / Milwaukee Admirals / Nashville Predators / New York Rangers / Orli Znojmo / Rytíři Kladno / Syracuse Crunch,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9686/tomas-kloucek
Виктор Балдаев,Россия,N/A,Защитник,ИСТИНА,ЛОЖЬ,"""A"" / Amur Khabarovsk / Atlant Mytishchi / Atlanty Mytishchi / Chicoutimi Saguenéens / HC Energie Karlovy Vary / HK Sarov / HK Sochi / Khimik Voskresensk / Kristall Elektrostal / Kunlun Red Star / Metallurg Novokuznetsk / Rouyn-Noranda Huskies / Россия U20 (all) / Severstal Cherepovets / Spartak Moskva / Torpedo Nizhny Novgorod",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/166558/viktor-baldayev
Игорь Исаев,Россия,N/A,Защитник,ИСТИНА,ЛОЖЬ,"""A"" / Belye Medvedi Chelyabinsk / Chelmet Chelyabinsk / HK Norilsk / Khimik Voskresensk / Россия II (all) / Traktor Chelyabinsk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/211962/igor-isayev
Егор Шалапов,Россия,Казахстан,Защитник,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Barys Astana / Barys Nur-Sultan / Gornyak Uchaly / HK Tambov / Казахстан / Казахстан (all) / Nomad Astana / Nomad Nur-Sultan",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/266868/yegor-shalapov
Михаил Беляев,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,Admiral Vladivostok / Avangard Omsk / Buran Voronezh / Lada Togliatti / Loko Yaroslavl / Loko-Yunior Yaroslavl / Lokomotiv Yaroslavl / Lokomotiv-2004 Yaroslavl U16 / Lokomotiv-2004 Yaroslavl U17 / Molot Perm / Omskie Krylia / Yermak Angarsk / Yugra Khanty-Mansiysk,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/320897/mikhail-belyayev
Данил Авершин,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""C"" / HK Rostov / HK Sochi / Kapitan Stupino / Khimik Voskresensk / MHK Spartak Moskva / Россия U17 (all) / Россия U18 (all) / Spartak Moskva / Spartak Moskva U16 / Spartak Moskva U17 / Spartak Moskva U18",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/547027/danil-avershin
Алексей Ефимов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,Ariada-Akpars Volzhsk / Avtomobilist Yekaterinburg / HK Almaty / HK Lipetsk / HK Ryazan / HK Tambov / Kristall Saratov / Krylia Sovetov Moskva / Krylia Sovetov Moskva-2 / Krylia Sovetov-2 Moskva / Krylia Stolitsy Moskva / Lada Togliatti / Metallurg Novokuznetsk / Rulav Oddr/HC Kharkiv Berserks / Rus Moskva / SDYUSHOR Spartak Moskva / Spartak Moskva-2 / Sputnik Nizhny Tagil / Yunior-Sputnik Nizhny Tagil,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/91871/alexei-yefimov
Иван Савчик,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / HSh im. S. Makarova U16 / HSh im. S. Makarova U17 / Mamonty Yugry / Vityaz Moscow Region / Yugra Khanty-Mansiysk / Yugra Khanty-Mansiysk U18",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/398634/ivan-savchik
Иван Подшивалов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,Almaz Cherepovets / Altay Ust-Kamenogorsk / Altay-Torpedo Ust-Kamenogorsk / Buran Voronezh / HK Belgorod U17 / Luch Belgorod U18 / MHK Torpedo Ust-Kamenogorsk / Severstal Cherepovets / Torpedo Ust-Kamenogorsk U20,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/692372/ivan-podshivalov
Илья Соларев,Россия,Казахстан,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Barys Astana / Barys Astana-2 / Danbury Whalers / Energiya Kemerovo / Ertis Pavlodar / HK Brest / HK Brest-2 / HK Lipetsk / Kazakhmys Satpaev / Казахстан / Казахстан (all) / Molot-Prikamie Perm / Molot-Prikamie Perm-2 / Motor Barnaul / Motor Barnaul-2 / Neftyanik Leninogorsk / Nomad Astana / SC Csíkszereda",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/18140/ilya-solaryov
Лассе Кукконен,Финляндия,N/A,Защитник,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Avangard Omsk / Chicago Blackhawks / Финляндия / Финляндия (all) / Финляндия U16 (all) / Финляндия U17 (all) / Финляндия U18 / Финляндия U18 (all) / Финляндия U20 / Финляндия U20 (all) / Kärpät / Kärpät U16 / Kärpät U18 / Kärpät U20 / Metallurg Magnitogorsk / Norfolk Admirals / Philadelphia Flyers / Philadelphia Phantoms / Rögle BK",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/2717/lasse-kukkonen
Никита Алексеев,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,Ak Bars Kazan / Ak Bars Kazan-2 / Avangard Omsk / Chicago Blackhawks / Erie Otters / Hershey Bears / Krylia Sovetov Moskva-2 / Omskie Yastreby / Severstal Cherepovets / Springfield Falcons / Tampa Bay Lightning,ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/10221/nikita-alexeyev
Кирилл Лебедев,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Borås HC / Dizel Penza / HK Ryazan / HK Sochi / Indiana Ice / KRS Heilongjiang / Kuban Krasnodar / Kunlun Red Star / Metallurg Magnitogorsk / Metallurg Magnitogorsk-2 / Metallurg Novokuznetsk / Neftyanik Almetievsk / Rubin Tyumen / Saryarka Karaganda / Sibir Novosibirsk / Sibirskie Snaipery Novosibirsk / Stalnye Lisy Magnitogorsk / Torpedo Ust-Kamenogorsk / Yuzhny Ural Orsk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/43446/kirill-lebedev
Дмитрий Мальцев,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""C"" / Avangard Omsk / HK Sochi / Loko Yaroslavl / Lokomotiv Yaroslavl / Lokomotiv Yaroslavl-2 / Metallurg Novokuznetsk / Salavat Yulaev Ufa",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/95807/dmitri-maltsev
Ричард Линтнер,Словакия,N/A,Защитник,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Djurgårdens IF / Dynamo Minsk / Färjestad BK / HC Fribourg-Gottéron / HK Dukla Trencin / HK Spisska Nova Ves / Hartford Wolf Pack / Lukko / MODO Hockey / Milwaukee Admirals / Nashville Predators / New York Rangers / Pittsburgh Penguins / Rögle BK / SHK 37 Piestany / SaiPa / Skellefteå AIK / Словакия / Словакия (all) / Словакия U18 / Словакия U20 / Springfield Falcons / Wilkes-Barre/Scranton Penguins",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/580/richard-lintner
Либор Пивко,Чехия,N/A,Нападающий,ИСТИНА,ИСТИНА,Чехия (all) / Чехия U20 / Dynamo Minsk / HC Hamé / HC Havířov / HC Havířov U20 / HC Kometa Brno / HC Opava / HC Pardubice / HC Slezan Opava U18 / HC Slezan Opava U20 / HC Ytong Brno / HC Zlín / HK Gomel / HK Opava U20 / Milwaukee Admirals / Nashville Predators / Neftekhimik Nizhnekamsk / SK Horácká Slavia Třebíč,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/10217/libor-pivko
Алексей Сироков,Латвия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Amur Khabarovsk / Amur Khabarovsk-2 / Cortina / Dinamo Riga / Dinamo Riga 81 / Dresdner Eislöwen / Dynamo Moskva / HC Kometa Brno / HC Riga / HK Kurbads / HK Mogo / HK Ozolnieki/Monarch / HK Välk 494 Tartu / Kapitan Stupino / Kazzinc-Torpedo / Khimik Mytishchi / Латвия / Латвия (all) / Латвия U18 / Латвия U20 / Lukko / Metallurg Novokuznetsk / Metallurg Novokuznetsk-2 / Metallurg Zhlobin / Metalurgs Liepaja / Neftyanik Almetievsk / Neman Grodno / Olimp Riga / Pardaugava Riga / Prizma Riga / Red Ice HC / Shakhter Soligorsk / Zvezda Chekhov",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/17899/aleksejs-sirokovs
Петр Часлава,Чехия,N/A,Защитник,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / CSKA Moskva / Чехия / Чехия (all) / Чехия U20 / HC Berounští Medvědi / HC Chrudim / HC Dukla Jihlava / HC Dvůr Králové nad Labem / HC Dynamo Pardubice / HC Dynamo Pardubice U20 / HC Hlinsko / HC Hradec Králové / HC Pardubice / HC Pardubice U20 / Severstal Cherepovets / Timrå IK",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/11970/petr-caslava
Дмитрий Космачев,Россия,N/A,Защитник,ИСТИНА,ЛОЖЬ,Admiral Vladivostok / Ak Bars Kazan / Amur Khabarovsk / Atlant Mytishchi / CSKA Moskva / CSKA Moskva-2 / HK CSKA Moskva / HK CSKA Moskva-2 / HK Ryazan / Khimik Mytishchi / Khimik Mytishchi-2 / Kristall Elektrostal / Neftekhimik Nizhnekamsk / Россия U17 / Россия U18 / Россия U20 / Toros Neftekamsk / Torpedo Nizhny Novgorod / Torpedo Nizhny Novgorod-2,ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9581/dmitri-kosmachyov
Тони ДеАнджело,США,N/A,Защитник,ИСТИНА,ИСТИНА,"""A"" / Arizona Coyotes / Carolina Hurricanes / Cedar Rapids Roughriders / Hartford Wolf Pack / Mercer Chiefs 13U AAA / New York Islanders / New York Rangers / Philadelphia Flyers / SKA St. Petersburg / Sarnia Sting / Soo Greyhounds / Syracuse Crunch / Tucson Roadrunners / США U20 / Westchester Express 16U AAA",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/89818/tony-deangelo
Николай Буренов,Россия,N/A,Защитник,ИСТИНА,ЛОЖЬ,"""A"" / Dizel Penza / HK Ryazan / Россия U17 / Россия U17 (all) / Россия U18 / Россия U18 (all) / Russkie Vityazi Chekhov / Severstal Cherepovets / Torpedo Nizhny Novgorod / Vityaz Podolsk U16 / Vityaz Podolsk U17",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/512827/nikolai-burenov
Ээро Эло,Финляндия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Avtomobilist Yekaterinburg / EHC Freiburg / Финляндия (all) / Финляндия U16 (all) / Финляндия U17 (all) / Финляндия U18 (all) / Финляндия U19 (all) / Финляндия U20 / Финляндия U20 (all) / HC Thurgau / KooKoo / Lukko / Lukko U16 / Lukko U18 / Lukko U20 / SC Bern / SC Langenthal / SCL Tigers / Sibir Novosibirsk / Sport / Suomi U20 / Ässät",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/17014/eero-elo
Милослав Горава,Чехия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Bílí Tygři Liberec / Чехия (all) / Чехия U18 / Чехия U20 / Чехия U20 (all) / EV Landshut / EV Moosburg / Genève-Servette HC / HC Berounští Medvědi / HC Energie Karlovy Vary / HC Kladno / HC Kometa Brno / HC Litvínov / HC Oceláři Třinec / HC Slavia Praha / MODO Hockey / MODO Hockey J20 / Metallurg Novokuznetsk / MoDo Hockey J18 / MoDo Hockey J20 / Rytíři Kladno / Severstal Cherepovets",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/5868/miloslav-horava
Каспарс Саулиетис,Латвия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,Des Moines Buccaneers / Dinamo Riga / Dynamo Minsk / HC Litvínov / HC Nove Zamky / HC Porto / HK Kurbads / HK Mogo / HK Riga 2000 / HK Välk 494 Tartu / HPK / Kelowna Rockets / Латвия / Латвия (all) / Латвия U18 / Латвия U20 / Metallurg Zhlobin / Neman Grodno / Olimp Riga / Regina Pats / Riga/Saga/LB 18 / SK Riga 20 / Shakhter Soligorsk / Sokil Kyiv / Toros Neftekamsk / Yunior Minsk / Yunost Minsk,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/11344/kaspars-saulietis
Сергей Севостьянов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,Amur Khabarovsk / CSK VVS Samara / Ertis Pavlodar / Khimik Mytishchi / Lada Togliatti / Lada Togliatti-2 / Metallurg Magnitogorsk / Metallurg Magnitogorsk-2 / Rubin Tyumen / Yermak Angarsk,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/19397/sergei-sevostyanov
Марио Близнак,Словакия,N/A,Нападающий,ИСТИНА,ИСТИНА,Bílí Tygři Liberec / HC Benátky nad Jizerou / HC Plzeň / HC Slovan Bratislava / HC Sparta Praha / HK Dubnica / HK Dubnica U18 / HK Dubnica U20 / HK Dukla Trencin / Manitoba Moose / Словакия / Словакия (all) / Словакия U18 / Словакия U20 / Vancouver Canucks / Vancouver Giants,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/11598/mario-bliznak
Егор Яковлев,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,AKM Novomoskovsk / AKM Tula Region / Admiral Vladivostok / Dynamo Moskva / HK Norilsk / HK Sakhalin / Metallurg Novokuznetsk / Omskie Yastreby / Severstal Cherepovets / Sokol Krasnoyarsk / Taifun Primorsky Krai / Yastreby Omsk / Yastreby Omsk U18,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/240089/yegor-yakovlev
Эндрю Миллер,США,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Bakersfield Condors / Charlotte Checkers / Chicago Steel / Cranbrook Kingswood School / Edmonton Oilers / HC Fribourg-Gottéron / Kunlun Red Star / Oklahoma City Barons / Yale Univ.",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/17845/andrew-miller
Логан Пайетт,Канада,N/A,Защитник,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Admiral Vladivostok / Канада U18 / Канада U20 / Канада Western U17 / Connecticut Whale / Frederikshavn White Hawks / Grand Rapids Griffins / Hershey Bears / KooKoo / Lehigh Valley Phantoms / Outlook Ice Hawks / Prairie Storm U15 AA / Prairie Storm U18 AA / Regina Pat Canadians U18 AAA / Regina Pats / SC Csíkszereda / Severstal Cherepovets / Tohoku Free Blades / Vityaz Podolsk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9344/logan-pyett
Мартин Севц,Чехия,N/A,Защитник,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / BK Mladá Boleslav / Bílí Tygři Liberec / Чехия / Чехия (all) / Dynamo Minsk / EHC Basel / Färjestad BK / HC Berounští Medvědi / HC Kladno / HC Kladno U20 / HC Lev Praha / HC Plzeň / HC Podebrady / HC Poděbrady / HC Slovan Ústečtí Lvi / HC Slovan Ústí nad Labem / PZ Kladno U20 / Skellefteå AIK",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/7299/martin-sevc
Семен Ручкин,Россия,N/A,Защитник,ИСТИНА,ЛОЖЬ,Admiral Vladivostok / Avangard Omsk / Dynamo St. Petersburg / Izhstal Izhevsk / Khimik Voskresensk / MHK Dynamo St. Petersburg / Spartak Moskva / Torpedo Nizhny Novgorod,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/262664/semyon-ruchkin
Евгений Катичев,Россия,N/A,Защитник,ИСТИНА,ЛОЖЬ,AKM Tula Region / Chelmet Chelyabinsk / Gazovik Tyumen / HK Dmitrov / HK MVD / HK MVD Balashikha-2 / HK MVD-THK Tver / Kristall Elektrostal / Mechel Chelyabinsk / Mechel Chelyabinsk-2 / Neftekhimik Nizhnekamsk / Traktor Chelyabinsk / Vityaz Podolsk,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/21099/yevgeni-katichev
Кори Мерфи,Канада,N/A,Защитник,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Blues / Канада / Colgate Univ. / Dynamo Minsk / Florida Panthers / HC Fribourg-Gottéron / HIFK / Ilves / Kanata Valley Lasers / Karlskrona HK / Lowell Devils / New Jersey Devils / Ottawa Valley Titans U15 AAA / Rochester Americans / Tampa Bay Lightning / Växjö Lakers HC / ZSC Lions",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/3583/cory-murphy
Джонатан Сигалет,Канада,N/A,Защитник,ИСТИНА,ИСТИНА,"""A"" / Boston Bruins / Bowling Green State Univ. / Brynäs IF / Burnaby Winter Club U15 A1 / Канада U18 / Frölunda HC / HC Slovan Bratislava / Lev Poprad / Luleå HF / Providence Bruins / Salmon Arm Silverbacks / Springfield Falcons / Syracuse Crunch",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9485/jonathan-sigalet
Антон Малышев,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,Amur Khabarovsk / Arlan Kokshetau / Avangard Omsk / Izhorets St. Petersburg / Kristall Saratov / Kristall Saratov-2 / Lokomotiv St. Petersburg / SKA St. Petersburg / SKA St. Petersburg-2 / SKA-Kareliya St. Petersburg / Sibir Novosibirsk / Spartak St. Petersburg / VMF-Kareliya St. Petersburg,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/22846/anton-malyshev
Александр Суворов,Беларусь,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""C"" / Беларусь (all) / Беларусь U20 / Dinamo Minsk / Dinamo-Molodechno / HK Sochi / Metallurg Zhlobin / Minskie Zubry / SKA-Neva St. Petersburg / Severstal Cherepovets / Team Беларусь U18 / Varyagi im. Morozova U16 / Varyagi im. Morozova U17",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/595483/alexander-suvorov
Сергей Емелин,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,Avtomobilist Yekaterinburg / HK Almaty / Ledyanye Volki Kyiv / Metallurg Novokuznetsk / Salavat Yulaev Ufa / Salavat Yulaev Ufa-2 / Tolpar Ufa / Toros Neftekamsk,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/38670/sergei-yemelin
Микко Лехтонен,Финляндия,N/A,Нападающий,ИСТИНА,ИСТИНА,Blues / Blues U16 / Blues U18 / Blues U20 / Boston Bruins / Djurgårdens IF / ESV Kaufbeuren / Fehérvár AV19 / Финляндия U16 (all) / Финляндия U17 / Финляндия U17 (all) / Финляндия U18 / Финляндия U20 / HC Lugano / HPK / Kiekko-Espoo / Kärpät / Medvescak Zagreb / Providence Bruins / Rouen / SC Bern / Severstal Cherepovets / Skellefteå AIK / Suomi U20 / ZSC Lions / Örebro HK,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/5877/mikko-lehtonen
Владимир Кузнецов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Acadie-Bathurst Titan / Avto Yekaterinburg / Avtomobilist Yekaterinburg / Avtomobilist Yekaterinburg U17 / Gornyak Uchaly / Gornyak-UGMK / Россия U17 / Россия U17 (all) / Россия U18 / Россия U20 (all) / Tsen Tou Jilin",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/309244/vladimir-kuznetsov
Александр Татаринов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,Amur Khabarovsk / Avtomobilist Yekaterinburg / Dizel Penza / Donbass Donetsk / HK Almaty / Khimik Voskresensk / Khimik Voskresensk-2 / Kristall Saratov / Lokomotiv Yaroslavl / Lokomotiv Yaroslavl-2 / Mechel Chelyabinsk / Mechel Chelyabinsk-2 / Metallurg Novokuznetsk / Metallurg Novokuznetsk-2 / Molot-Prikamie Perm / Molot-Prikamie Perm-2 / Россия U18 / Spartak Moskva / Spartak Moskva-2 / Torpedo Yaroslavl-2,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/19111/alexander-tatarinov
Вадим Митряков,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Ariada Volzhsk / Ariada-Akpars Volzhsk / Arlan Kokshetau / Beibarys Atyrau / HK Aktobe / Kuznetskie Medvedi / Metallurg Novokuznetsk / Metallurg Novokuznetsk-2 / Rubin Tyumen / Zauralie Kurgan",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/44019/vadim-mitryakov
Дмитрий Кателевский,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,Ak Bars Kazan / Ak Bars Kazan U16 / Bars Kazan / Irbis Kazan / Neftyanik Almetievsk / Россия U17 (all) / Россия U18,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/619135/dmitri-katelevsky
